miRNAID,GeneSymbol
hsa-miR-1224-5p,KLHL15
hsa-miR-1224-5p,PPP1R9B
hsa-miR-138-5p,DNAJB6
hsa-miR-138-5p,DNAJB6
hsa-miR-138-5p,RHOC
hsa-miR-138-5p,EID1
hsa-miR-138-5p,DNAJB6
hsa-miR-138-5p,IGF2BP1
hsa-miR-138-5p,DNAJB6
hsa-miR-138-5p,DNAJB6
hsa-miR-138-5p,FOXC1
hsa-miR-138-5p,RARA
hsa-miR-138-5p,IGLON5
hsa-miR-138-5p,IGF2BP1
hsa-miR-144-3p,FNDC3A
hsa-miR-144-3p,TMTC3
hsa-miR-144-3p,FNDC3A
hsa-miR-144-3p,FNDC3A
hsa-miR-146b-5p,ZNRF3
hsa-miR-146b-5p,TRAF6
hsa-miR-146b-5p,PPP1R11
hsa-miR-146b-5p,TRAF6
hsa-miR-146b-5p,CCDC6
hsa-miR-146b-5p,NOVA1
hsa-miR-146b-5p,ZNRF3
hsa-miR-150-5p,TP53
hsa-miR-150-5p,EPHB2
hsa-miR-150-5p,SP1
hsa-miR-150-5p,EPHB2
hsa-miR-150-5p,ADIPOR2
hsa-miR-150-5p,PRKCA
hsa-miR-150-5p,SP1
hsa-miR-150-5p,EPHB2
hsa-miR-150-5p,GOSR1
hsa-miR-150-5p,GOSR1
hsa-miR-150-5p,MMP14
hsa-miR-150-5p,EGR2
hsa-miR-150-5p,GOSR1
hsa-miR-150-5p,GOSR1
hsa-miR-150-5p,TP53
hsa-miR-150-5p,TP53
hsa-miR-150-5p,TP53
hsa-miR-150-5p,VPS53
hsa-miR-150-5p,EGR2
hsa-miR-150-5p,NR2F2
hsa-miR-150-5p,NR2F2
hsa-miR-150-5p,MYB
hsa-miR-150-5p,MYB
hsa-miR-181a-5p,ZNF562
hsa-miR-181a-5p,PHC3
hsa-miR-181a-5p,PHC3
hsa-miR-181a-5p,NMT2
hsa-miR-181a-5p,PCDHA5
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,RLIM
hsa-miR-181a-5p,MIDEAS
hsa-miR-181a-5p,DRAM1
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,ENAH
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,TNRC6B
hsa-miR-181a-5p,RCOR1
hsa-miR-181a-5p,RLIM
hsa-miR-181a-5p,ZNF562
hsa-miR-181a-5p,DRAM1
hsa-miR-181a-5p,JCAD
hsa-miR-181a-5p,PHACTR4
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,PHOX2B
hsa-miR-181a-5p,NMT2
hsa-miR-181a-5p,CCDC6
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,ATXN7
hsa-miR-181a-5p,ATXN7
hsa-miR-181a-5p,CPOX
hsa-miR-181a-5p,ATXN7
hsa-miR-181a-5p,ENAH
hsa-miR-181a-5p,TNRC6B
hsa-miR-181a-5p,MTMR12
hsa-miR-181a-5p,MIDEAS
hsa-miR-181a-5p,PHACTR4
hsa-miR-181a-5p,ZNF562
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,COPS2
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,TNRC6B
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181b-5p,GSKIP
hsa-miR-181b-5p,CPEB4
hsa-miR-181b-5p,CPEB4
hsa-miR-181b-5p,CPEB4
hsa-miR-181b-5p,NMT2
hsa-miR-181b-5p,OSBPL8
hsa-miR-181b-5p,OSBPL8
hsa-miR-181b-5p,KLHL15
hsa-miR-181b-5p,CAPRIN2
hsa-miR-181b-5p,PURB
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,C2orf69
hsa-miR-181b-5p,RLIM
hsa-miR-181b-5p,OSBPL8
hsa-miR-181b-5p,TBL1XR1
hsa-miR-181b-5p,PBX3
hsa-miR-181b-5p,DDX3X
hsa-miR-181b-5p,DDX3X
hsa-miR-181b-5p,TBL1XR1
hsa-miR-181b-5p,TMEM94
hsa-miR-181b-5p,NLK
hsa-miR-181b-5p,KRBOX4
hsa-miR-181b-5p,ZBTB4
hsa-miR-181b-5p,CAPRIN2
hsa-miR-181b-5p,PHC3
hsa-miR-181b-5p,KPNA4
hsa-miR-181b-5p,MAP3K10
hsa-miR-181b-5p,PLPP3
hsa-miR-181b-5p,NMT2
hsa-miR-181b-5p,SCD
hsa-miR-181b-5p,PTBP3
hsa-miR-181b-5p,TMEM94
hsa-miR-181b-5p,TBL1XR1
hsa-miR-181b-5p,DDX3X
hsa-miR-181b-5p,DDX3X
hsa-miR-181b-5p,TBL1XR1
hsa-miR-181b-5p,CAPRIN2
hsa-miR-181b-5p,CAPRIN2
hsa-miR-181b-5p,ARF6
hsa-miR-181b-5p,OSBPL8
hsa-miR-181b-5p,MIDEAS
hsa-miR-181b-5p,HEPHL1
hsa-miR-181b-5p,ZBTB4
hsa-miR-181b-5p,KRBOX4
hsa-miR-181b-5p,KRBOX4
hsa-miR-181b-5p,PBX3
hsa-miR-181b-5p,PTBP3
hsa-miR-181b-5p,PTBP3
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,CAPRIN2
hsa-miR-181d-5p,GSKIP
hsa-miR-181d-5p,SLC10A7
hsa-miR-181d-5p,ZADH2
hsa-miR-181d-5p,ZADH2
hsa-miR-181d-5p,SLC10A7
hsa-miR-181d-5p,KLHL15
hsa-miR-181d-5p,PURB
hsa-miR-181d-5p,ZNF268
hsa-miR-181d-5p,TNPO1
hsa-miR-181d-5p,C2orf69
