File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
2d9b73e3-1b77-489e-8e3b-f0a7db2fef41	71adffbf-aee3-47a2-9cbb-2ea2f6b7d7d4.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3CZ	TCGA-EL-A3CZ-01A	Primary Tumor
58ea3ab2-b7dd-4937-88cc-24d9d6935e8f	f84da636-f742-4567-b98f-ae06af9ac87c.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-BJ-A2N8	TCGA-BJ-A2N8-01A	Primary Tumor
15461298-fd58-4098-8539-950e4c4d748f	f3b7c565-5fc5-4bb8-847c-04a9e8595400.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A4KN	TCGA-ET-A4KN-01A	Primary Tumor
8f3cb533-8a66-419d-8cf6-d32b905e8e2a	7afe782d-7ef6-4ce9-bf17-986d94dd5457.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A40P	TCGA-ET-A40P-01A	Primary Tumor
139af76f-1ff8-426d-a84c-81c1dfbaba00	0eee81e3-1f0c-474d-ba00-f98c8d3fc89a.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-BJ-A0Z0	TCGA-BJ-A0Z0-01A	Primary Tumor
d5ca6be7-d3d1-47c3-a77d-0f215020f2e6	bf334c03-8d8c-4055-8bcf-e19684c29e2a.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3H7	TCGA-EL-A3H7-01A	Primary Tumor
31e115d8-ff78-4ff2-bf11-2a29e5b2c20f	e657e6fb-c774-403e-8e47-2b57e231546e.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-E8-A3X7	TCGA-E8-A3X7-01A	Primary Tumor
6b4b1ebb-c9cb-425b-88bf-6a8373bea40d	c24fa09e-e606-4c62-b911-5beab4e5fd86.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3ZR	TCGA-EL-A3ZR-01A	Primary Tumor
0a8efe85-eb84-48d3-bfee-c51244a8cc10	5ce46b54-091d-4224-a7c8-65db24728f18.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-KS-A4I9	TCGA-KS-A4I9-01A	Primary Tumor
caed2660-8d57-415d-aa87-07b72739ffd9	7bbe1eb2-398d-4ea3-8ce1-d467c73cac6c.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3N2	TCGA-EL-A3N2-01A	Primary Tumor
7218a7b1-eef8-412c-8199-dc11d04ee55a	68bd8884-ba20-4078-8bab-a8c2162a1a09.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3GW	TCGA-EL-A3GW-01A	Primary Tumor
77c021cd-1c8c-428f-9371-ade7867697e0	65c1c95c-2bbf-45d0-a9c1-1cd5548641b8.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A39T	TCGA-ET-A39T-01A	Primary Tumor
eeab3b31-bb2a-41b7-81d7-c547a7c50c1d	0dbdbfc8-1201-4ca8-ae92-1dd67e29b774.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-DJ-A2PZ	TCGA-DJ-A2PZ-01A	Primary Tumor
1389132a-921b-4b4d-b7c5-0bfbbda242ff	aa594af4-30e6-416d-9ca9-12d1adda4dec.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3ZT	TCGA-EL-A3ZT-01A	Primary Tumor
fb4048a0-58f3-47e8-b0f3-f5b2de8f6299	27c4d599-7406-4c3b-a6cd-26e65384c19d.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-E3-A3E1	TCGA-E3-A3E1-01A	Primary Tumor
a5a983c8-9bfa-4a2f-a70e-d19633aabb80	3ae7d093-8dee-486c-8c23-4c5df362b53e.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A25G	TCGA-ET-A25G-01A	Primary Tumor
344ed90c-574a-4e80-95fc-90880eaf74ab	f5460f92-defd-4acd-95dc-97c8c5ae0275.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EM-A3AN	TCGA-EM-A3AN-01A	Primary Tumor
fe9c6e16-5655-450a-b20e-45d2818c77ef	9c8833e3-4a8a-4a57-bd37-5c5c7115701c.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-E8-A242	TCGA-E8-A242-01A	Primary Tumor
87e60271-86e4-45dd-8b68-b7429f7e93bb	be0c28b0-5331-4a5c-bc92-9ddcd3a98bdb.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-FK-A3S3	TCGA-FK-A3S3-01A	Primary Tumor
659c37b0-f2fb-4895-a19e-5f0872051bd4	171f24e7-97a1-43fc-b8a1-4850440ae57c.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3ZK	TCGA-EL-A3ZK-11A	Solid Tissue Normal
0ddac867-73af-4a00-a500-c5873776bee9	f5e40292-a2da-4b27-8099-e09a6e5721ec.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A3DW	TCGA-ET-A3DW-01A	Primary Tumor
ecaaf7af-092e-426d-9851-3aa72ec3512f	8da34e65-311f-4e90-9eca-9291592355db.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-BJ-A2NA	TCGA-BJ-A2NA-11A	Solid Tissue Normal
64030002-0ce4-467b-89d3-c94f59682f61	041cb0ad-0e59-461f-aa09-fa66ffa0d926.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A3ZR	TCGA-EL-A3ZR-11A	Solid Tissue Normal
3f532a57-c157-4453-b883-1bf054c0791c	b53d68d1-4ca9-4fb0-85cd-6cddd83641e5.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-E8-A413	TCGA-E8-A413-01A	Primary Tumor
bd5283ed-b7e6-4e22-8f45-c5b378ed4470	3d8cbf88-82f5-4b23-875c-899b5e56f577.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A3DU	TCGA-ET-A3DU-01A	Primary Tumor
976c8a3f-f106-4c68-b322-61e5d3ac9c3a	6ed8af5c-a590-4de1-9110-59d0d383860f.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A40T	TCGA-ET-A40T-01A	Primary Tumor
8e54c0c5-3448-46fb-8de4-5e97c99370d2	53c22805-25bf-4e1d-8445-58b6f3c1de97.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-DJ-A1QN	TCGA-DJ-A1QN-01A	Primary Tumor
7cf82448-c36d-448a-8db0-fe855649065e	c957e3d5-aba5-4261-868f-7e9a86265779.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EM-A4FQ	TCGA-EM-A4FQ-01A	Primary Tumor
9b2180c0-af32-45ce-ac87-9b29ad5fbf06	cd24fa8b-2799-4c05-bb20-bd6035dbf3d1.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A4K4	TCGA-EL-A4K4-01A	Primary Tumor
0f0be38b-7575-4e7f-949d-1f5cd7db04fd	82bc0cc0-1bee-40f3-b335-0dc8c61ef37a.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-BJ-A18Y	TCGA-BJ-A18Y-01A	Primary Tumor
8c8dc1e0-3106-4a3d-9aac-9fe9b59e0cc7	a94490aa-ea42-4858-a017-0e76fc67f2e8.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-MK-A4N7	TCGA-MK-A4N7-01A	Primary Tumor
a4a4bd14-d86a-44ce-be76-39cad381034d	2a4d491d-9124-4b8c-b876-65f6d660a6eb.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-DJ-A3VB	TCGA-DJ-A3VB-01A	Primary Tumor
2aac0e41-0529-4440-bc3f-0c34f474b1fc	aaf22d35-b0cd-4749-b9e4-9c613095ad26.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EL-A4JX	TCGA-EL-A4JX-01A	Primary Tumor
ffabd382-76e6-470e-8e28-a36762af7d3b	99f2310d-de0c-4db2-b93f-4b9a7ca541ae.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-DE-A4M9	TCGA-DE-A4M9-01A	Primary Tumor
602fc871-d244-43e6-b68d-5d6cae4c52e9	fac418a5-616e-408f-ae2f-96f15a4fc2b9.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-BJ-A4O9	TCGA-BJ-A4O9-01A	Primary Tumor
98895f77-79e7-411d-880d-7959601d37b8	f8db654e-c901-4286-9aa7-3aa645136426.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-J8-A3O0	TCGA-J8-A3O0-01A	Primary Tumor
d0a5a9e2-3404-4615-8fe2-e947ff44619f	05dbed73-8431-4dc4-aea9-489e2ce50a32.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A39K	TCGA-ET-A39K-01A	Primary Tumor
19a2e33f-d1d2-4f2d-a939-05a76d227ff4	757969e4-f47d-41cb-8f83-774d6b91374c.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EM-A2CR	TCGA-EM-A2CR-01A	Primary Tumor
9bafc78b-cbd7-4090-8d1b-85e0bd0e8f47	61170e85-ee65-4ebc-aac6-ab82d0ec2a73.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A2MX	TCGA-ET-A2MX-11C	Solid Tissue Normal
fb607e72-6eaf-4a67-8014-d74aa28db07b	600cb2ec-f69e-4a7d-8a75-decc539a49fc.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A39N	TCGA-ET-A39N-01A	Primary Tumor
b1a8c4bc-b21d-408b-8886-a07ebcd84796	3e95363e-5a2f-40e5-9afd-148646082f7e.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-DJ-A13X	TCGA-DJ-A13X-01A	Primary Tumor
404da4c5-74c5-4e9f-9cbc-0d6028ee1f13	1e50148d-ecdc-4f44-8950-8d952e83c085.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A3BN	TCGA-ET-A3BN-01A	Primary Tumor
5564d767-fd0c-46d5-979d-17bdf22cf0e0	fcb36beb-95d0-4028-9c91-90d7be88e738.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-BJ-A0YZ	TCGA-BJ-A0YZ-01A	Primary Tumor
67b8c86e-7bd6-411a-962f-4fa9c5e2274e	7def1d74-cf41-479c-a49b-7608ae73d5dd.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EM-A1CV	TCGA-EM-A1CV-01A	Primary Tumor
5169cee3-790e-4900-a95d-b710260ba924	9fcfa1c7-ce96-48be-b8d3-1d5de9158528.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A25O	TCGA-ET-A25O-01A	Primary Tumor
1e94c843-e069-4af8-b8ef-bc5174673832	df0064db-68e9-4dc0-93f6-bb819d0d5e82.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-E8-A415	TCGA-E8-A415-01A	Primary Tumor
a90a3215-e825-4d0f-a670-09bcac898be4	9024042a-12e8-46c7-936d-b548e21742be.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-ET-A39M	TCGA-ET-A39M-01A	Primary Tumor
08fa3c2b-2846-4435-8289-d3b26e6a1f98	c237fd53-86a0-49c3-b5f1-7af887c45ab9.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EM-A3FQ	TCGA-EM-A3FQ-06A	Metastatic
e53bd667-37b5-44b1-8adf-dc261df2d61f	6c599655-ea64-4771-977a-0d398b365a96.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-EM-A4FF	TCGA-EM-A4FF-01A	Primary Tumor
7e0b2024-baa5-4ff6-8d9b-bbfa29790474	b9d24f24-41d8-44a2-a81c-7bde901a4ded.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-THCA	TCGA-DJ-A4V4	TCGA-DJ-A4V4-01A	Primary Tumor
